Tiempo, Distancia, Error, Control
1033,-0.05,30.05,20.74
1045,-0.05,30.05,20.74
1057,-0.05,30.05,20.74
1069,-0.05,30.05,20.74
1081,-0.05,30.05,20.74
1093,-0.05,30.05,20.74
1105,-0.05,30.05,20.74
1117,-0.05,30.05,20.74
1129,-0.05,30.05,20.74
1141,-0.05,30.05,23.54
1153,-0.05,30.05,23.54
1165,-0.05,30.05,23.54
1177,-0.05,30.05,23.54
1189,-0.05,30.05,23.54
1201,-0.05,30.05,23.54
1213,-0.05,30.05,23.54
1225,-0.05,30.05,23.54
1237,-0.05,30.05,23.54
1249,-0.05,30.05,26.33
1261,-0.05,30.05,26.33
1273,-0.05,30.05,26.33
1285,-0.05,30.05,26.33
1297,-0.05,30.05,26.33
1309,-0.05,30.05,26.33
1321,-0.05,30.05,26.33
1333,-0.05,30.05,26.33
1345,-0.05,30.05,26.33
1357,-0.05,30.05,29.13
1369,-0.05,30.05,29.13
1381,-0.05,30.05,29.13
1393,-0.05,30.05,29.13
1405,-0.05,30.05,29.13
1417,-0.05,30.05,29.13
1429,-0.05,30.05,29.13
1441,-0.05,30.05,29.13
1453,-0.05,30.05,29.13
1465,-0.05,30.05,31.93
1477,-0.05,30.05,31.93
1489,-0.05,30.05,31.93
1501,-0.05,30.05,31.93
1513,-0.05,30.05,31.93
1525,-0.05,30.05,31.93
1537,-0.05,30.05,31.93
1549,-0.05,30.05,31.93
1561,-0.05,30.05,31.93
1573,-0.05,30.05,34.73
1585,-0.05,30.05,34.73
1597,-0.05,30.05,34.73
1609,-0.05,30.05,34.73
1621,-0.05,30.05,34.73
1633,-0.05,30.05,34.73
1645,-0.05,30.05,34.73
1657,-0.05,30.05,34.73
1669,-0.05,30.05,34.73
1681,-0.05,30.05,37.53
1693,-0.05,30.05,37.53
1705,-0.05,30.05,37.53
1717,-0.05,30.05,37.53
1729,-0.05,30.05,37.53
1741,-0.05,30.05,37.53
1753,-0.05,30.05,37.53
1765,-0.05,30.05,37.53
1777,-0.05,30.05,37.53
1789,-0.05,30.05,40.32
1801,-0.05,30.05,40.32
1813,-0.05,30.05,40.32
1825,-0.05,30.05,40.32
1837,-0.05,30.05,40.32
1849,-0.05,30.05,40.32
1861,-0.05,30.05,40.32
1873,-0.05,30.05,40.32
1885,-0.05,30.05,40.32
1897,-0.05,30.05,43.12
1909,-0.05,30.05,43.12
1921,-0.05,30.05,43.12
1933,-0.05,30.05,43.12
1945,-0.05,30.05,43.12
1957,-0.05,30.05,43.12
1969,-0.05,30.05,43.12
1981,-0.05,30.05,43.12
1993,-0.05,30.05,43.12
2005,-0.05,30.05,45.92
2017,-0.05,30.05,45.92
2029,-0.05,30.05,45.92
2041,-0.05,30.05,45.92
2053,-0.05,30.05,45.92
2065,0.36,29.64,45.92
2077,-0.05,30.05,45.92
2089,-0.05,30.05,45.92
2101,0.36,29.64,45.92
2113,-0.05,30.05,48.72
2125,-0.05,30.05,48.72
2137,-0.05,30.05,48.72
2149,-0.05,30.05,48.72
2161,-0.05,30.05,48.72
2173,-0.05,30.05,48.72
2185,-0.05,30.05,48.72
2197,-0.05,30.05,48.72
2209,-0.05,30.05,48.72
2221,-0.05,30.05,51.52
2233,-0.05,30.05,51.52
2245,-0.05,30.05,51.52
2257,-0.05,30.05,51.52
2269,-0.05,30.05,51.52
2281,0.36,29.64,51.52
2293,0.42,29.58,51.52
2305,0.42,29.58,51.52
2317,0.42,29.58,51.52
2329,0.42,29.58,53.98
2341,0.42,29.58,53.98
2353,0.42,29.58,53.98
2365,0.42,29.58,53.98
2377,0.37,29.63,53.98
2389,0.42,29.58,53.98
2401,0.42,29.58,53.98
2413,0.42,29.58,53.98
2425,0.42,29.58,53.98
2437,0.42,29.58,56.74
2449,0.42,29.58,56.74
2461,0.42,29.58,56.74
2473,0.41,29.59,56.74
2485,0.42,29.58,56.74
2497,0.42,29.58,56.74
2509,0.42,29.58,56.74
2521,0.42,29.58,56.74
2533,0.42,29.58,56.74
2545,0.42,29.58,59.49
2557,0.42,29.58,59.49
2569,-0.00,30.00,59.49
2581,-0.00,30.00,59.49
2593,-0.00,30.00,59.49
2605,-0.00,30.00,59.49
2617,-0.00,30.00,59.49
2629,0.02,29.98,59.49
2641,0.02,29.98,59.49
2653,0.02,29.98,62.53
2665,0.02,29.98,62.53
2677,-0.00,30.00,62.53
2689,0.02,29.98,62.53
2701,-0.00,30.00,62.53
2713,0.02,29.98,62.53
2725,0.42,29.58,62.53
2737,-0.00,30.00,62.53
2749,0.02,29.98,62.53
2761,-0.00,30.00,65.33
2773,-0.00,30.00,65.33
2785,-0.00,30.00,65.33
2797,-0.00,30.00,65.33
2809,-0.00,30.00,65.33
2821,-0.00,30.00,65.33
2833,-0.00,30.00,65.33
2845,-0.00,30.00,65.33
2857,-0.00,30.00,65.33
2869,0.42,29.58,67.83
2881,-0.00,30.00,67.83
2893,0.42,29.58,67.83
2905,-0.00,30.00,67.83
2917,0.42,29.58,67.83
2929,0.47,29.53,67.83
2941,0.47,29.53,67.83
2953,0.47,29.53,67.83
2965,0.47,29.53,67.83
2977,0.47,29.53,70.55
2989,0.47,29.53,70.55
3001,0.47,29.53,70.55
3013,0.42,29.58,70.55
3025,0.47,29.53,70.55
3037,0.47,29.53,70.55
3049,0.42,29.58,70.55
3061,0.47,29.53,70.55
3073,0.47,29.53,70.55
3085,0.47,29.53,73.30
3097,0.47,29.53,73.30
3109,0.07,29.93,73.30
3121,0.47,29.53,73.30
3133,0.05,29.95,73.30
3145,0.07,29.93,73.30
3157,0.07,29.93,73.30
3169,0.05,29.95,73.30
3181,0.47,29.53,73.30
3193,0.07,29.93,76.33
3205,0.07,29.93,76.33
3217,0.07,29.93,76.33
3229,0.07,29.93,76.33
3241,0.07,29.93,76.33
3253,0.07,29.93,76.33
3265,0.07,29.93,76.33
3277,0.05,29.95,76.33
3289,0.07,29.93,76.33
3301,0.07,29.93,79.11
3313,0.07,29.93,79.11
3325,0.07,29.93,79.11
3337,0.07,29.93,79.11
3349,0.07,29.93,79.11
3361,0.07,29.93,79.11
3373,0.07,29.93,79.11
3385,0.07,29.93,79.11
3397,0.44,29.56,79.11
3409,0.54,29.46,81.57
3421,0.53,29.47,81.57
3433,0.53,29.47,81.57
3445,0.54,29.46,81.57
3457,0.53,29.47,81.57
3469,0.53,29.47,81.57
3481,0.53,29.47,81.57
3493,0.12,29.88,81.57
3505,0.12,29.88,81.57
3517,0.12,29.88,84.61
3529,0.12,29.88,84.61
3541,0.07,29.93,84.61
3553,0.12,29.88,84.61
3565,0.12,29.88,84.61
3577,0.14,29.86,84.61
3589,0.12,29.88,84.61
3601,0.53,29.47,84.61
3613,0.12,29.88,84.61
3625,0.12,29.88,87.39
3637,0.12,29.88,87.39
3649,0.12,29.88,87.39
3661,0.12,29.88,87.39
3673,0.12,29.88,87.39
3685,0.12,29.88,87.39
3697,0.12,29.88,87.39
3709,0.08,29.92,87.39
3721,0.12,29.88,87.39
3733,0.19,29.81,90.12
3745,0.19,29.81,90.12
3757,0.19,29.81,90.12
3769,0.19,29.81,90.12
3781,0.19,29.81,90.12
3793,0.19,29.81,90.12
3805,0.24,29.76,90.12
3817,0.24,29.76,90.12
3829,0.24,29.76,90.12
3841,0.24,29.76,92.87
3853,0.24,29.76,92.87
3865,0.24,29.76,92.87
3877,0.24,29.76,92.87
3889,0.25,29.75,92.87
3901,0.24,29.76,92.87
3913,0.24,29.76,92.87
3925,0.30,29.70,92.87
3937,0.71,29.29,92.87
3949,0.30,29.70,95.59
3961,0.36,29.64,95.59
3973,0.78,29.22,95.59
3985,0.36,29.64,95.59
3997,0.83,29.17,95.59
4009,0.83,29.17,95.59
4021,0.83,29.17,95.59
4033,0.47,29.53,95.59
4045,0.95,29.05,95.59
4057,1.00,29.00,97.87
4069,0.59,29.41,97.87
4081,0.66,29.34,97.87
4093,0.71,29.29,97.87
4105,1.19,28.81,97.87
4117,1.26,28.74,97.87
4129,0.90,29.10,97.87
4141,1.38,28.62,97.87
4153,1.02,28.98,97.87
4165,1.55,28.45,100.20
4177,1.60,28.40,100.20
4189,1.24,28.76,100.20
4201,1.31,28.69,100.20
4213,1.83,28.17,100.20
4225,1.90,28.10,100.20
4237,1.55,28.45,100.20
4249,1.60,28.40,100.20
4261,2.07,27.93,100.20
4273,2.19,27.81,102.40
4285,2.26,27.74,102.40
4297,1.90,28.10,102.40
4309,2.36,27.64,102.40
4321,2.07,27.93,102.40
4333,2.19,27.81,102.40
4345,2.24,27.76,102.40
4357,2.31,27.69,102.40
4369,2.84,27.16,102.40
4381,2.96,27.04,104.46
4393,2.67,27.33,104.46
4405,2.79,27.21,104.46
4417,3.31,26.69,104.46
4429,3.03,26.97,104.46
4441,3.14,26.86,104.46
4453,4.15,25.85,104.46
4465,3.84,26.16,104.46
4477,3.98,26.02,104.46
4489,4.15,25.85,106.16
4501,4.27,25.73,106.16
4513,4.03,25.97,106.16
4525,4.62,25.38,106.16
4537,4.79,25.21,106.16
4549,4.96,25.04,106.16
4561,5.15,24.85,106.16
4573,5.34,24.66,106.16
