Tiempo, Distancia, Error, setPoint, Control
1033,-0.05,50.05,50.00,100.10
1045,-0.05,50.05,50.00,100.10
1057,-0.05,50.05,50.00,100.10
1069,-0.05,50.05,50.00,100.10
1081,-0.05,50.05,50.00,100.10
1093,-0.05,50.05,50.00,100.10
1105,-0.05,50.05,50.00,100.10
1117,-0.05,50.05,50.00,100.10
1129,-0.05,50.05,50.00,100.10
1141,-0.05,50.05,50.00,100.10
1153,-0.05,50.05,50.00,100.10
1165,-0.05,50.05,50.00,100.10
1177,0.36,49.64,50.00,100.10
1189,-0.05,50.05,50.00,100.10
1201,-0.05,50.05,50.00,100.10
1213,-0.05,50.05,50.00,100.10
1225,-0.02,50.02,50.00,100.10
1237,-0.05,50.05,50.00,100.10
1249,-0.05,50.05,50.00,100.10
1261,0.36,49.64,50.00,100.10
1273,0.36,49.64,50.00,100.10
1285,0.42,49.58,50.00,100.10
1297,0.42,49.58,50.00,100.10
1309,0.41,49.59,50.00,100.10
1321,0.42,49.58,50.00,100.10
1333,0.42,49.58,50.00,100.10
1345,-0.00,50.00,50.00,100.10
1357,-0.00,50.00,50.00,100.00
1369,-0.00,50.00,50.00,100.00
1381,-0.00,50.00,50.00,100.00
1393,0.07,49.93,50.00,100.00
1405,0.07,49.93,50.00,100.00
1417,0.07,49.93,50.00,100.00
1429,0.54,49.46,50.00,100.00
1441,0.12,49.88,50.00,100.00
1453,0.12,49.88,50.00,100.00
1465,0.19,49.81,50.00,99.63
1477,0.19,49.81,50.00,99.63
1489,0.24,49.76,50.00,99.63
1501,0.24,49.76,50.00,99.63
1513,0.24,49.76,50.00,99.63
1525,0.30,49.70,50.00,99.63
1537,0.30,49.70,50.00,99.63
1549,0.36,49.64,50.00,99.63
1561,0.83,49.17,50.00,99.63
1573,0.83,49.17,50.00,98.34
1585,0.49,49.51,50.00,98.34
1597,0.54,49.46,50.00,98.34
1609,0.59,49.41,50.00,98.34
1621,0.66,49.34,50.00,98.34
1633,0.71,49.29,50.00,98.34
1645,0.76,49.24,50.00,98.34
1657,1.31,48.69,50.00,98.34
1669,1.36,48.64,50.00,98.34
1681,1.43,48.57,50.00,97.15
1693,1.07,48.93,50.00,97.15
1705,1.04,48.96,50.00,97.15
1717,1.67,48.33,50.00,97.15
1729,1.78,48.22,50.00,97.15
1741,1.43,48.57,50.00,97.15
1753,1.95,48.05,50.00,97.15
1765,2.07,47.93,50.00,97.15
1777,2.14,47.86,50.00,97.15
1789,2.26,47.74,50.00,95.48
1801,1.90,48.10,50.00,95.48
1813,2.02,47.98,50.00,95.48
1825,2.55,47.45,50.00,95.48
1837,2.62,47.38,50.00,95.48
1849,2.67,47.33,50.00,95.48
1861,2.79,47.21,50.00,95.48
1873,2.43,47.57,50.00,95.48
1885,2.96,47.04,50.00,95.48
1897,2.60,47.40,50.00,94.80
1909,3.08,46.92,50.00,94.80
1921,2.74,47.26,50.00,94.80
1933,3.20,46.80,50.00,94.80
1945,2.91,47.09,50.00,94.80
1957,3.38,46.62,50.00,94.80
1969,3.86,46.14,50.00,94.80
1981,3.43,46.57,50.00,94.80
1993,3.50,46.50,50.00,94.80
2005,3.98,46.02,50.00,92.05
2017,3.14,46.86,50.00,92.05
2029,3.14,46.86,50.00,92.05
2041,3.55,46.45,50.00,92.05
2053,3.55,46.45,50.00,92.05
2065,3.55,46.45,50.00,92.05
2077,3.55,46.45,50.00,92.05
2089,3.50,46.50,50.00,92.05
2101,3.09,46.91,50.00,92.05
2113,3.50,46.50,50.00,93.00
2125,3.45,46.55,50.00,93.00
2137,3.38,46.62,50.00,93.00
2149,2.96,47.04,50.00,93.00
2161,3.31,46.69,50.00,93.00
2173,3.74,46.26,50.00,93.00
2185,2.84,47.16,50.00,93.00
2197,2.79,47.21,50.00,93.00
2209,3.14,46.86,50.00,93.00
2221,3.08,46.92,50.00,93.85
2233,2.67,47.33,50.00,93.85
2245,3.03,46.97,50.00,93.85
2257,3.43,46.57,50.00,93.85
2269,2.96,47.04,50.00,93.85
2281,2.91,47.09,50.00,93.85
2293,2.84,47.16,50.00,93.85
2305,2.84,47.16,50.00,93.85
2317,2.36,47.64,50.00,93.85
2329,2.31,47.69,50.00,95.38
2341,2.67,47.33,50.00,95.38
2353,2.60,47.40,50.00,95.38
2365,2.19,47.81,50.00,95.38
2377,3.03,46.97,50.00,95.38
2389,2.55,47.45,50.00,95.38
2401,2.55,47.45,50.00,95.38
2413,2.55,47.45,50.00,95.38
2425,2.55,47.45,50.00,95.38
2437,2.97,47.03,50.00,94.05
2449,2.55,47.45,50.00,94.05
2461,2.96,47.04,50.00,94.05
2473,2.55,47.45,50.00,94.05
2485,2.55,47.45,50.00,94.05
2497,2.50,47.50,50.00,94.05
2509,2.55,47.45,50.00,94.05
2521,2.55,47.45,50.00,94.05
2533,2.50,47.50,50.00,94.05
2545,2.55,47.45,50.00,94.90
2557,2.55,47.45,50.00,94.90
2569,2.97,47.03,50.00,94.90
2581,2.50,47.50,50.00,94.90
2593,2.50,47.50,50.00,94.90
2605,2.50,47.50,50.00,94.90
2617,2.50,47.50,50.00,94.90
2629,2.48,47.52,50.00,94.90
2641,2.96,47.04,50.00,94.90
2653,2.55,47.45,50.00,94.90
2665,2.55,47.45,50.00,94.90
2677,2.14,47.86,50.00,94.90
2689,2.14,47.86,50.00,94.90
2701,2.55,47.45,50.00,94.90
2713,2.48,47.52,50.00,94.90
2725,2.55,47.45,50.00,94.90
2737,2.55,47.45,50.00,94.90
2749,2.55,47.45,50.00,94.90
2761,2.55,47.45,50.00,94.90
2773,2.55,47.45,50.00,94.90
2785,2.50,47.50,50.00,94.90
2797,2.09,47.91,50.00,94.90
2809,2.07,47.93,50.00,94.90
2821,2.50,47.50,50.00,94.90
2833,2.48,47.52,50.00,94.90
2845,2.50,47.50,50.00,94.90
2857,2.48,47.52,50.00,94.90
2869,2.07,47.93,50.00,95.85
2881,2.48,47.52,50.00,95.85
2893,2.50,47.50,50.00,95.85
2905,2.91,47.09,50.00,95.85
2917,2.48,47.52,50.00,95.85
2929,2.91,47.09,50.00,95.85
2941,2.48,47.52,50.00,95.85
2953,2.48,47.52,50.00,95.85
2965,2.48,47.52,50.00,95.85
2977,2.07,47.93,50.00,95.85
2989,2.07,47.93,50.00,95.85
3001,2.48,47.52,50.00,95.85
3013,2.48,47.52,50.00,95.85
3025,2.07,47.93,50.00,95.85
3037,2.91,47.09,50.00,95.85
3049,2.55,47.45,50.00,95.85
3061,2.55,47.45,50.00,95.85
3073,2.55,47.45,50.00,95.85
3085,2.55,47.45,50.00,94.90
3097,2.55,47.45,50.00,94.90
3109,3.03,46.97,50.00,94.90
3121,2.60,47.40,50.00,94.90
3133,2.19,47.81,50.00,94.90
3145,2.60,47.40,50.00,94.90
3157,2.60,47.40,50.00,94.90
3169,2.67,47.33,50.00,94.90
3181,2.24,47.76,50.00,94.90
3193,2.26,47.74,50.00,95.48
3205,2.26,47.74,50.00,95.48
3217,2.67,47.33,50.00,95.48
3229,2.26,47.74,50.00,95.48
3241,2.67,47.33,50.00,95.48
3253,3.14,46.86,50.00,95.48
3265,2.72,47.28,50.00,95.48
3277,2.72,47.28,50.00,95.48
3289,2.72,47.28,50.00,95.48
3301,2.31,47.69,50.00,95.38
3313,2.31,47.69,50.00,95.38
3325,2.31,47.69,50.00,95.38
3337,2.31,47.69,50.00,95.38
3349,2.31,47.69,50.00,95.38
3361,2.31,47.69,50.00,95.38
3373,2.31,47.69,50.00,95.38
3385,2.74,47.26,50.00,95.38
3397,2.79,47.21,50.00,95.38
3409,2.38,47.62,50.00,95.24
3421,2.36,47.64,50.00,95.24
3433,2.38,47.62,50.00,95.24
3445,2.36,47.64,50.00,95.24
3457,2.36,47.64,50.00,95.24
3469,2.86,47.14,50.00,95.24
3481,2.86,47.14,50.00,95.24
3493,2.43,47.57,50.00,95.24
3505,2.86,47.14,50.00,95.24
3517,2.86,47.14,50.00,94.29
3529,2.86,47.14,50.00,94.29
3541,2.86,47.14,50.00,94.29
3553,2.50,47.50,50.00,94.29
3565,2.50,47.50,50.00,94.29
3577,2.48,47.52,50.00,94.29
3589,2.91,47.09,50.00,94.29
3601,3.38,46.62,50.00,94.29
3613,2.48,47.52,50.00,94.29
3625,2.91,47.09,50.00,94.19
3637,2.91,47.09,50.00,94.19
3649,2.91,47.09,50.00,94.19
3661,3.31,46.69,50.00,94.19
3673,2.84,47.16,50.00,94.19
3685,2.43,47.57,50.00,94.19
3697,2.43,47.57,50.00,94.19
3709,2.43,47.57,50.00,94.19
3721,2.84,47.16,50.00,94.19
3733,2.79,47.21,50.00,94.43
3745,2.36,47.64,50.00,94.43
3757,2.38,47.62,50.00,94.43
3769,2.79,47.21,50.00,94.43
3781,2.31,47.69,50.00,94.43
3793,2.72,47.28,50.00,94.43
3805,2.24,47.76,50.00,94.43
3817,2.67,47.33,50.00,94.43
3829,2.60,47.40,50.00,94.43
3841,2.19,47.81,50.00,95.62
3853,2.96,47.04,50.00,95.62
3865,2.55,47.45,50.00,95.62
3877,2.55,47.45,50.00,95.62
3889,2.55,47.45,50.00,95.62
3901,2.55,47.45,50.00,95.62
3913,2.55,47.45,50.00,95.62
3925,2.96,47.04,50.00,95.62
3937,2.55,47.45,50.00,95.62
3949,2.55,47.45,50.00,94.90
3961,2.55,47.45,50.00,94.90
3973,2.55,47.45,50.00,94.90
3985,2.55,47.45,50.00,94.90
3997,2.55,47.45,50.00,94.90
4009,2.55,47.45,50.00,94.90
4021,2.55,47.45,50.00,94.90
4033,2.55,47.45,50.00,94.90
4045,2.55,47.45,50.00,94.90
4057,2.55,47.45,50.00,94.90
4069,3.03,46.97,50.00,94.90
4081,2.60,47.40,50.00,94.90
4093,2.19,47.81,50.00,94.90
4105,2.19,47.81,50.00,94.90
4117,2.62,47.38,50.00,94.90
