Tiempo, Distancia, Error, Control
1033,0.42,29.58,114.55
1045,0.41,29.59,114.55
1057,0.42,29.58,114.55
1069,0.42,29.58,114.55
1081,0.42,29.58,114.55
1093,0.42,29.58,114.55
1105,0.42,29.58,114.55
1117,0.37,29.63,114.55
1129,0.42,29.58,114.55
1141,0.42,29.58,114.55
1153,0.42,29.58,114.55
1165,0.42,29.58,114.55
1177,0.42,29.58,114.55
1189,0.42,29.58,114.55
1201,0.42,29.58,114.55
1213,0.42,29.58,114.55
1225,0.42,29.58,114.55
1237,0.42,29.58,114.55
1249,0.42,29.58,114.55
1261,0.42,29.58,114.55
1273,0.42,29.58,114.55
1285,0.42,29.58,114.55
1297,0.42,29.58,114.55
1309,0.42,29.58,114.55
1321,-0.00,30.00,114.55
1333,-0.00,30.00,114.55
1345,-0.00,30.00,114.55
1357,-0.00,30.00,116.19
1369,-0.00,30.00,116.19
1381,0.47,29.53,116.19
1393,0.07,29.93,116.19
1405,0.54,29.46,116.19
1417,0.12,29.88,116.19
1429,0.19,29.81,116.19
1441,0.30,29.70,116.19
1453,0.42,29.58,116.19
1465,0.53,29.47,114.15
1477,0.71,29.29,114.15
1489,0.95,29.05,114.15
1501,1.19,28.81,114.15
1513,1.55,28.45,114.15
1525,1.90,28.10,114.15
1537,2.72,27.28,114.15
1549,3.14,26.86,114.15
1561,3.57,26.43,114.15
1573,3.79,26.21,101.51
1585,4.62,25.38,101.51
1597,5.22,24.78,101.51
1609,6.34,23.66,101.51
1621,6.58,23.42,101.51
1633,7.75,22.25,101.51
1645,8.04,21.96,101.51
1657,9.25,20.75,101.51
1669,9.42,20.58,101.51
1681,11.07,18.93,73.33
1693,11.30,18.70,73.33
1705,12.14,17.86,73.33
1717,12.78,17.22,73.33
1729,14.09,15.91,73.33
1741,15.15,14.85,73.33
1753,15.15,14.85,73.33
1765,16.22,13.78,73.33
1777,17.65,12.35,73.33
1789,17.81,12.19,47.19
1801,17.93,12.07,47.19
1813,19.07,10.93,47.19
1825,18.72,11.28,47.19
1837,19.55,10.45,47.19
1849,19.96,10.04,47.19
1861,21.57,8.43,47.19
1873,20.55,9.45,47.19
1885,22.51,7.49,47.19
1897,21.39,8.61,33.37
1909,22.74,7.26,33.37
1921,21.44,8.56,33.37
1933,21.39,8.61,33.37
1945,21.25,8.75,33.37
1957,21.08,8.92,33.37
1969,21.28,8.72,33.37
1981,19.67,10.33,33.37
1993,20.98,9.02,33.37
2005,19.89,10.11,39.16
2017,18.07,11.93,39.16
2029,18.29,11.71,39.16
2041,17.59,12.41,39.16
2053,16.83,13.17,39.16
