Tiempo, Distancia, Error, Control
1033,-0.00,30.00,12.93
1045,-0.00,30.00,12.93
1057,0.02,29.98,12.93
1069,0.02,29.98,12.93
1081,-0.00,30.00,12.93
1093,-0.00,30.00,12.93
1105,-0.00,30.00,12.93
1117,-0.00,30.00,12.93
1129,-0.00,30.00,12.93
1141,-0.00,30.00,14.40
1153,-0.00,30.00,14.40
1165,-0.00,30.00,14.40
1177,-0.00,30.00,14.40
1189,-0.00,30.00,14.40
1201,-0.05,30.05,14.40
1213,-0.00,30.00,14.40
1225,-0.00,30.00,14.40
1237,-0.00,30.00,14.40
1249,0.02,29.98,15.87
1261,-0.00,30.00,15.87
1273,0.02,29.98,15.87
1285,0.02,29.98,15.87
1297,0.02,29.98,15.87
1309,-0.00,30.00,15.87
1321,-0.00,30.00,15.87
1333,-0.00,30.00,15.87
1345,-0.00,30.00,15.87
1357,-0.00,30.00,17.35
1369,-0.00,30.00,17.35
1381,-0.02,30.02,17.35
1393,-0.00,30.00,17.35
1405,-0.00,30.00,17.35
1417,-0.00,30.00,17.35
1429,0.42,29.58,17.35
1441,-0.00,30.00,17.35
1453,-0.00,30.00,17.35
1465,-0.00,30.00,18.83
1477,-0.00,30.00,18.83
1489,-0.00,30.00,18.83
1501,-0.00,30.00,18.83
1513,-0.00,30.00,18.83
1525,-0.00,30.00,18.83
1537,-0.00,30.00,18.83
1549,-0.00,30.00,18.83
1561,-0.00,30.00,18.83
1573,-0.00,30.00,20.30
1585,-0.00,30.00,20.30
1597,-0.02,30.02,20.30
1609,-0.00,30.00,20.30
1621,-0.00,30.00,20.30
1633,-0.00,30.00,20.30
1645,-0.00,30.00,20.30
1657,-0.00,30.00,20.30
1669,-0.00,30.00,20.30
1681,-0.00,30.00,21.78
1693,-0.00,30.00,21.78
1705,-0.02,30.02,21.78
1717,-0.00,30.00,21.78
1729,-0.00,30.00,21.78
1741,-0.00,30.00,21.78
1753,-0.00,30.00,21.78
1765,-0.00,30.00,21.78
1777,-0.00,30.00,21.78
1789,-0.00,30.00,23.26
1801,-0.00,30.00,23.26
1813,-0.00,30.00,23.26
1825,-0.00,30.00,23.26
1837,-0.00,30.00,23.26
1849,-0.00,30.00,23.26
1861,-0.00,30.00,23.26
1873,-0.00,30.00,23.26
1885,-0.00,30.00,23.26
1897,-0.00,30.00,24.73
1909,-0.00,30.00,24.73
1921,-0.00,30.00,24.73
1933,-0.00,30.00,24.73
1945,-0.00,30.00,24.73
1957,-0.00,30.00,24.73
1969,-0.00,30.00,24.73
1981,-0.00,30.00,24.73
1993,-0.00,30.00,24.73
2005,0.02,29.98,26.20
2017,-0.00,30.00,26.20
2029,-0.00,30.00,26.20
2041,0.02,29.98,26.20
2053,0.02,29.98,26.20
2065,-0.00,30.00,26.20
2077,-0.00,30.00,26.20
2089,-0.00,30.00,26.20
2101,-0.00,30.00,26.20
2113,0.02,29.98,27.67
2125,0.42,29.58,27.67
2137,-0.00,30.00,27.67
2149,-0.00,30.00,27.67
2161,0.02,29.98,27.67
2173,0.02,29.98,27.67
2185,-0.00,30.00,27.67
2197,0.42,29.58,27.67
2209,-0.00,30.00,27.67
2221,0.42,29.58,28.97
2233,0.02,29.98,28.97
2245,-0.00,30.00,28.97
2257,-0.00,30.00,28.97
2269,-0.00,30.00,28.97
2281,-0.00,30.00,28.97
2293,0.42,29.58,28.97
2305,-0.00,30.00,28.97
2317,-0.00,30.00,28.97
2329,-0.00,30.00,30.61
2341,-0.00,30.00,30.61
2353,-0.00,30.00,30.61
2365,-0.00,30.00,30.61
2377,0.42,29.58,30.61
2389,0.02,29.98,30.61
2401,-0.00,30.00,30.61
2413,-0.00,30.00,30.61
2425,0.02,29.98,30.61
2437,-0.00,30.00,32.09
2449,-0.00,30.00,32.09
2461,-0.00,30.00,32.09
2473,0.42,29.58,32.09
2485,0.02,29.98,32.09
2497,0.42,29.58,32.09
2509,0.42,29.58,32.09
2521,-0.00,30.00,32.09
2533,-0.00,30.00,32.09
2545,-0.00,30.00,33.56
2557,-0.00,30.00,33.56
2569,-0.00,30.00,33.56
2581,-0.00,30.00,33.56
2593,0.02,29.98,33.56
2605,-0.00,30.00,33.56
2617,-0.00,30.00,33.56
2629,0.02,29.98,33.56
2641,-0.00,30.00,33.56
2653,0.02,29.98,35.03
2665,-0.00,30.00,35.03
2677,-0.00,30.00,35.03
2689,-0.00,30.00,35.03
2701,-0.00,30.00,35.03
2713,0.02,29.98,35.03
2725,-0.00,30.00,35.03
2737,-0.00,30.00,35.03
2749,-0.00,30.00,35.03
2761,-0.00,30.00,36.51
2773,-0.00,30.00,36.51
2785,-0.00,30.00,36.51
2797,-0.00,30.00,36.51
2809,-0.00,30.00,36.51
2821,-0.00,30.00,36.51
2833,-0.00,30.00,36.51
2845,-0.00,30.00,36.51
2857,-0.00,30.00,36.51
2869,-0.00,30.00,37.99
2881,-0.00,30.00,37.99
2893,-0.00,30.00,37.99
2905,-0.00,30.00,37.99
2917,-0.00,30.00,37.99
2929,-0.00,30.00,37.99
2941,-0.00,30.00,37.99
2953,-0.00,30.00,37.99
2965,-0.00,30.00,37.99
2977,-0.00,30.00,39.47
2989,-0.00,30.00,39.47
3001,-0.00,30.00,39.47
3013,-0.00,30.00,39.47
3025,-0.00,30.00,39.47
3037,-0.00,30.00,39.47
3049,-0.00,30.00,39.47
3061,-0.00,30.00,39.47
3073,-0.00,30.00,39.47
3085,-0.00,30.00,40.94
3097,-0.00,30.00,40.94
3109,-0.00,30.00,40.94
3121,-0.00,30.00,40.94
3133,-0.03,30.03,40.94
3145,-0.00,30.00,40.94
3157,-0.00,30.00,40.94
3169,0.42,29.58,40.94
3181,0.42,29.58,40.94
3193,0.42,29.58,42.24
3205,0.42,29.58,42.24
3217,0.02,29.98,42.24
3229,-0.00,30.00,42.24
3241,-0.00,30.00,42.24
3253,-0.00,30.00,42.24
3265,-0.00,30.00,42.24
3277,-0.00,30.00,42.24
3289,-0.00,30.00,42.24
3301,-0.00,30.00,43.87
3313,-0.00,30.00,43.87
3325,-0.00,30.00,43.87
3337,-0.00,30.00,43.87
3349,-0.00,30.00,43.87
3361,-0.00,30.00,43.87
3373,-0.00,30.00,43.87
3385,-0.00,30.00,43.87
3397,-0.00,30.00,43.87
3409,-0.00,30.00,45.35
3421,-0.00,30.00,45.35
3433,-0.00,30.00,45.35
3445,-0.00,30.00,45.35
3457,-0.00,30.00,45.35
3469,-0.00,30.00,45.35
3481,-0.00,30.00,45.35
3493,-0.00,30.00,45.35
3505,-0.00,30.00,45.35
3517,-0.00,30.00,46.82
3529,-0.00,30.00,46.82
3541,-0.00,30.00,46.82
3553,-0.00,30.00,46.82
3565,-0.00,30.00,46.82
3577,-0.00,30.00,46.82
3589,-0.00,30.00,46.82
3601,-0.00,30.00,46.82
3613,-0.00,30.00,46.82
3625,-0.00,30.00,48.30
3637,-0.00,30.00,48.30
3649,-0.00,30.00,48.30
3661,-0.00,30.00,48.30
3673,-0.00,30.00,48.30
3685,-0.00,30.00,48.30
3697,-0.00,30.00,48.30
3709,-0.00,30.00,48.30
3721,-0.00,30.00,48.30
3733,-0.00,30.00,49.78
3745,-0.00,30.00,49.78
3757,-0.03,30.03,49.78
3769,-0.00,30.00,49.78
3781,-0.00,30.00,49.78
3793,-0.00,30.00,49.78
3805,-0.00,30.00,49.78
3817,-0.00,30.00,49.78
3829,-0.00,30.00,49.78
3841,-0.00,30.00,51.25
3853,-0.00,30.00,51.25
3865,-0.03,30.03,51.25
3877,-0.00,30.00,51.25
3889,-0.00,30.00,51.25
3901,-0.00,30.00,51.25
3913,-0.00,30.00,51.25
3925,-0.00,30.00,51.25
3937,-0.00,30.00,51.25
3949,-0.00,30.00,52.73
3961,-0.00,30.00,52.73
3973,-0.00,30.00,52.73
3985,0.41,29.59,52.73
3997,-0.00,30.00,52.73
4009,-0.00,30.00,52.73
4021,-0.00,30.00,52.73
4033,-0.00,30.00,52.73
4045,-0.05,30.05,52.73
4057,-0.00,30.00,54.20
4069,-0.00,30.00,54.20
4081,0.42,29.58,54.20
4093,0.47,29.53,54.20
4105,0.47,29.53,54.20
4117,0.47,29.53,54.20
4129,0.41,29.59,54.20
4141,0.42,29.58,54.20
4153,-0.00,30.00,54.20
4165,0.42,29.58,55.50
4177,0.47,29.53,55.50
4189,0.47,29.53,55.50
4201,0.47,29.53,55.50
4213,0.47,29.53,55.50
4225,0.42,29.58,55.50
4237,0.41,29.59,55.50
4249,0.42,29.58,55.50
4261,0.42,29.58,55.50
4273,0.47,29.53,56.93
4285,0.47,29.53,56.93
4297,0.47,29.53,56.93
4309,0.47,29.53,56.93
4321,0.47,29.53,56.93
4333,0.47,29.53,56.93
4345,0.47,29.53,56.93
4357,0.47,29.53,56.93
4369,0.47,29.53,56.93
4381,0.47,29.53,58.38
4393,0.47,29.53,58.38
4405,0.47,29.53,58.38
4417,0.47,29.53,58.38
4429,0.47,29.53,58.38
4441,0.07,29.93,58.38
4453,0.47,29.53,58.38
4465,0.07,29.93,58.38
4477,0.07,29.93,58.38
4489,0.07,29.93,60.01
4501,0.47,29.53,60.01
4513,0.47,29.53,60.01
4525,0.47,29.53,60.01
4537,0.47,29.53,60.01
4549,0.47,29.53,60.01
4561,0.47,29.53,60.01
4573,0.07,29.93,60.01
4585,0.07,29.93,60.01
4597,0.47,29.53,61.31
4609,0.47,29.53,61.31
4621,0.47,29.53,61.31
4633,0.07,29.93,61.31
4645,0.07,29.93,61.31
4657,0.47,29.53,61.31
4669,0.47,29.53,61.31
4681,0.07,29.93,61.31
4693,0.07,29.93,61.31
4705,0.07,29.93,62.94
4717,0.07,29.93,62.94
4729,0.07,29.93,62.94
4741,0.07,29.93,62.94
4753,0.07,29.93,62.94
4765,0.05,29.95,62.94
4777,0.07,29.93,62.94
4789,0.07,29.93,62.94
4801,0.07,29.93,62.94
4813,0.07,29.93,64.41
4825,0.07,29.93,64.41
4837,0.07,29.93,64.41
4849,0.07,29.93,64.41
4861,0.07,29.93,64.41
4873,0.07,29.93,64.41
4885,0.07,29.93,64.41
4897,0.07,29.93,64.41
4909,0.07,29.93,64.41
4921,0.47,29.53,65.70
4933,0.07,29.93,65.70
4945,0.19,29.81,65.70
4957,0.07,29.93,65.70
4969,0.07,29.93,65.70
4981,0.07,29.93,65.70
4993,0.07,29.93,65.70
5005,0.07,29.93,65.70
5017,0.07,29.93,65.70
5029,0.07,29.93,67.33
5041,0.07,29.93,67.33
5053,0.07,29.93,67.33
5065,0.07,29.93,67.33
5077,0.07,29.93,67.33
5089,0.07,29.93,67.33
5101,0.07,29.93,67.33
5113,0.07,29.93,67.33
5125,0.07,29.93,67.33
5137,0.07,29.93,68.81
5149,0.07,29.93,68.81
5161,0.47,29.53,68.81
5173,0.47,29.53,68.81
5185,0.07,29.93,68.81
5197,0.07,29.93,68.81
5209,0.47,29.53,68.81
5221,0.53,29.47,68.81
5233,0.54,29.46,68.81
5245,0.47,29.53,70.10
5257,0.47,29.53,70.10
5269,0.47,29.53,70.10
5281,0.07,29.93,70.10
5293,0.47,29.53,70.10
5305,0.54,29.46,70.10
5317,0.54,29.46,70.10
5329,0.47,29.53,70.10
5341,0.07,29.93,70.10
5353,0.47,29.53,71.55
5365,0.47,29.53,71.55
5377,0.07,29.93,71.55
5389,0.54,29.46,71.55
5401,0.54,29.46,71.55
5413,0.36,29.64,71.55
5425,0.54,29.46,71.55
5437,0.47,29.53,71.55
5449,0.54,29.46,71.55
5461,0.12,29.88,73.16
5473,0.54,29.46,73.16
5485,0.54,29.46,73.16
5497,0.54,29.46,73.16
5509,0.54,29.46,73.16
5521,0.12,29.88,73.16
5533,0.12,29.88,73.16
5545,0.54,29.46,73.16
5557,0.12,29.88,73.16
5569,0.12,29.88,74.63
5581,0.54,29.46,74.63
5593,0.12,29.88,74.63
5605,0.53,29.47,74.63
5617,0.12,29.88,74.63
5629,0.12,29.88,74.63
5641,0.12,29.88,74.63
5653,0.54,29.46,74.63
5665,0.54,29.46,74.63
5677,0.54,29.46,75.92
5689,0.54,29.46,75.92
5701,0.54,29.46,75.92
5713,0.54,29.46,75.92
5725,0.12,29.88,75.92
5737,0.12,29.88,75.92
5749,0.12,29.88,75.92
5761,0.12,29.88,75.92
5773,0.54,29.46,75.92
5785,0.54,29.46,77.37
5797,0.53,29.47,77.37
5809,0.54,29.46,77.37
5821,0.12,29.88,77.37
5833,0.12,29.88,77.37
5845,0.12,29.88,77.37
5857,0.12,29.88,77.37
5869,0.12,29.88,77.37
5881,0.12,29.88,77.37
5893,0.12,29.88,79.00
5905,0.12,29.88,79.00
5917,0.12,29.88,79.00
5929,0.12,29.88,79.00
5941,0.12,29.88,79.00
5953,0.12,29.88,79.00
5965,0.12,29.88,79.00
5977,0.12,29.88,79.00
5989,0.12,29.88,79.00
6001,0.12,29.88,80.47
6013,0.14,29.86,80.47
6025,0.12,29.88,80.47
6037,0.12,29.88,80.47
6049,0.12,29.88,80.47
6061,0.12,29.88,80.47
6073,0.12,29.88,80.47
6085,0.12,29.88,80.47
6097,0.12,29.88,80.47
6109,0.12,29.88,81.94
6121,0.12,29.88,81.94
6133,0.12,29.88,81.94
6145,0.12,29.88,81.94
6157,0.12,29.88,81.94
6169,0.10,29.90,81.94
6181,0.12,29.88,81.94
6193,0.12,29.88,81.94
6205,0.12,29.88,81.94
6217,0.12,29.88,83.41
6229,0.12,29.88,83.41
6241,0.12,29.88,83.41
6253,0.12,29.88,83.41
6265,0.12,29.88,83.41
6277,0.12,29.88,83.41
6289,0.19,29.81,83.41
6301,0.12,29.88,83.41
6313,0.59,29.41,83.41
6325,0.59,29.41,84.67
6337,0.19,29.81,84.67
6349,0.19,29.81,84.67
6361,0.19,29.81,84.67
6373,0.19,29.81,84.67
6385,0.19,29.81,84.67
6397,0.19,29.81,84.67
6409,0.19,29.81,84.67
6421,0.24,29.76,84.67
6433,0.24,29.76,86.27
6445,0.24,29.76,86.27
6457,0.24,29.76,86.27
6469,0.24,29.76,86.27
6481,0.24,29.76,86.27
6493,0.24,29.76,86.27
6505,0.24,29.76,86.27
6517,0.24,29.76,86.27
6529,0.24,29.76,86.27
6541,0.24,29.76,87.74
6553,0.24,29.76,87.74
6565,0.71,29.29,87.74
6577,0.71,29.29,87.74
6589,0.30,29.70,87.74
6601,0.30,29.70,87.74
6613,0.71,29.29,87.74
6625,0.71,29.29,87.74
6637,0.30,29.70,87.74
6649,0.29,29.71,89.18
6661,0.30,29.70,89.18
6673,0.29,29.71,89.18
6685,0.76,29.24,89.18
6697,0.36,29.64,89.18
6709,0.30,29.70,89.18
6721,0.30,29.70,89.18
6733,0.78,29.22,89.18
6745,0.76,29.24,89.18
6757,0.30,29.70,90.63
6769,0.78,29.22,90.63
6781,0.36,29.64,90.63
6793,0.76,29.24,90.63
6805,0.36,29.64,90.63
6817,0.36,29.64,90.63
6829,0.36,29.64,90.63
6841,0.36,29.64,90.63
6853,0.36,29.64,90.63
6865,0.83,29.17,91.87
6877,0.36,29.64,91.87
6889,0.83,29.17,91.87
6901,0.42,29.58,91.87
6913,0.83,29.17,91.87
6925,0.42,29.58,91.87
6937,0.83,29.17,91.87
6949,0.83,29.17,91.87
6961,0.88,29.12,91.87
6973,0.88,29.12,93.28
6985,0.47,29.53,93.28
6997,0.95,29.05,93.28
7009,0.95,29.05,93.28
7021,0.54,29.46,93.28
7033,0.54,29.46,93.28
7045,0.59,29.41,93.28
7057,0.64,29.36,93.28
7069,0.66,29.34,93.28
7081,1.12,28.88,94.61
7093,0.71,29.29,94.61
7105,0.78,29.22,94.61
7117,1.24,28.76,94.61
7129,1.31,28.69,94.61
7141,0.90,29.10,94.61
7153,1.38,28.62,94.61
7165,1.38,28.62,94.61
7177,1.00,29.00,94.61
7189,1.50,28.50,95.87
7201,1.07,28.93,95.87
7213,1.14,28.86,95.87
7225,1.12,28.88,95.87
7237,1.61,28.39,95.87
7249,1.67,28.33,95.87
7261,1.67,28.33,95.87
7273,1.67,28.33,95.87
7285,1.72,28.28,95.87
7297,1.78,28.22,97.15
7309,1.38,28.62,97.15
7321,1.83,28.17,97.15
7333,1.85,28.15,97.15
7345,1.50,28.50,97.15
7357,1.55,28.45,97.15
7369,2.02,27.98,97.15
7381,2.07,27.93,97.15
7393,2.14,27.86,97.15
7405,2.19,27.81,98.36
7417,1.85,28.15,98.36
7429,1.90,28.10,98.36
7441,1.95,28.05,98.36
7453,2.50,27.50,98.36
7465,2.55,27.45,98.36
7477,2.62,27.38,98.36
7489,3.09,26.91,98.36
7501,2.74,27.26,98.36
7513,2.74,27.26,99.49
7525,2.43,27.57,99.49
7537,2.91,27.09,99.49
7549,2.96,27.04,99.49
7561,3.09,26.91,99.49
7573,2.74,27.26,99.49
7585,2.79,27.21,99.49
7597,2.86,27.14,99.49
7609,3.38,26.62,99.49
7621,3.03,26.97,100.71
7633,3.55,26.45,100.71
7645,3.62,26.38,100.71
7657,3.67,26.33,100.71
7669,3.74,26.26,100.71
7681,3.43,26.57,100.71
7693,3.91,26.09,100.71
7705,3.96,26.04,100.71
7717,3.60,26.40,100.71
7729,4.15,25.85,101.55
7741,4.21,25.79,101.55
7753,4.67,25.33,101.55
7765,4.32,25.68,101.55
7777,4.38,25.62,101.55
7789,4.44,25.56,101.55
7801,4.50,25.50,101.55
7813,4.55,25.45,101.55
7825,5.03,24.97,101.55
7837,4.67,25.33,102.60
7849,5.10,24.90,102.60
7861,4.74,25.26,102.60
7873,4.38,25.62,102.60
7885,4.44,25.56,102.60
7897,5.32,24.68,102.60
7909,4.91,25.09,102.60
7921,4.91,25.09,102.60
7933,4.98,25.02,102.60
7945,5.44,24.56,103.52
7957,5.03,24.97,103.52
