Tiempo, Distancia, Error, Control
1033,-0.05,30.05,6.49
1045,-0.05,30.05,6.49
1057,-0.05,30.05,6.49
1069,-0.05,30.05,6.49
1081,-0.05,30.05,6.49
1093,-0.05,30.05,6.49
1105,-0.05,30.05,6.49
1117,-0.05,30.05,6.49
1129,-0.05,30.05,6.49
1141,-0.05,30.05,7.05
1153,-0.05,30.05,7.05
1165,-0.05,30.05,7.05
1177,-0.05,30.05,7.05
1189,-0.05,30.05,7.05
1201,-0.05,30.05,7.05
1213,-0.05,30.05,7.05
1225,-0.05,30.05,7.05
1237,-0.05,30.05,7.05
1249,-0.05,30.05,7.67
1261,-0.05,30.05,7.67
1273,-0.05,30.05,7.67
1285,-0.05,30.05,7.67
1297,-0.05,30.05,7.67
1309,-0.05,30.05,7.67
1321,-0.05,30.05,7.67
1333,-0.05,30.05,7.67
1345,-0.05,30.05,7.67
1357,-0.05,30.05,8.28
1369,-0.05,30.05,8.28
1381,-0.05,30.05,8.28
1393,-0.05,30.05,8.28
1405,-0.05,30.05,8.28
1417,-0.05,30.05,8.28
1429,-0.05,30.05,8.28
1441,-0.05,30.05,8.28
1453,-0.05,30.05,8.28
1465,-0.05,30.05,8.90
1477,-0.05,30.05,8.90
1489,-0.05,30.05,8.90
1501,-0.05,30.05,8.90
1513,-0.05,30.05,8.90
1525,-0.05,30.05,8.90
1537,-0.05,30.05,8.90
1549,-0.05,30.05,8.90
1561,-0.05,30.05,8.90
1573,-0.05,30.05,9.52
1585,-0.05,30.05,9.52
1597,-0.05,30.05,9.52
1609,-0.05,30.05,9.52
1621,-0.05,30.05,9.52
1633,-0.05,30.05,9.52
1645,-0.05,30.05,9.52
1657,-0.05,30.05,9.52
1669,-0.05,30.05,9.52
1681,-0.05,30.05,10.13
1693,-0.05,30.05,10.13
1705,-0.05,30.05,10.13
1717,-0.05,30.05,10.13
1729,-0.05,30.05,10.13
1741,-0.05,30.05,10.13
1753,-0.05,30.05,10.13
1765,-0.05,30.05,10.13
1777,-0.05,30.05,10.13
1789,-0.05,30.05,10.75
1801,-0.05,30.05,10.75
1813,-0.05,30.05,10.75
1825,-0.05,30.05,10.75
1837,-0.05,30.05,10.75
1849,-0.05,30.05,10.75
1861,-0.05,30.05,10.75
1873,-0.05,30.05,10.75
