Tiempo, Distancia, Error, setPoint, Control
1033,-0.00,30.00,30.00,13.99
1045,-0.00,30.00,30.00,13.99
1057,-0.00,30.00,30.00,13.99
1069,-0.00,30.00,30.00,13.99
1081,-0.00,30.00,30.00,13.99
1093,-0.00,30.00,30.00,13.99
1105,-0.00,30.00,30.00,13.99
1117,-0.00,30.00,30.00,13.99
1129,0.02,29.98,30.00,13.99
1141,-0.00,30.00,30.00,18.29
1153,-0.00,30.00,30.00,18.29
1165,-0.00,30.00,30.00,18.29
1177,-0.00,30.00,30.00,18.29
1189,-0.00,30.00,30.00,18.29
1201,-0.00,30.00,30.00,18.29
1213,-0.00,30.00,30.00,18.29
1225,-0.00,30.00,30.00,18.29
1237,-0.00,30.00,30.00,18.29
1249,0.42,29.58,30.00,21.91
1261,-0.00,30.00,30.00,21.91
1273,-0.00,30.00,30.00,21.91
1285,0.42,29.58,30.00,21.91
1297,0.02,29.98,30.00,21.91
1309,0.02,29.98,30.00,21.91
1321,0.02,29.98,30.00,21.91
1333,-0.00,30.00,30.00,21.91
1345,-0.00,30.00,30.00,21.91
1357,-0.00,30.00,30.00,27.30
1369,-0.00,30.00,30.00,27.30
1381,-0.00,30.00,30.00,27.30
1393,-0.00,30.00,30.00,27.30
1405,0.02,29.98,30.00,27.30
1417,0.42,29.58,30.00,27.30
1429,-0.00,30.00,30.00,27.30
1441,-0.00,30.00,30.00,27.30
1453,0.42,29.58,30.00,27.30
1465,0.02,29.98,30.00,31.10
1477,-0.00,30.00,30.00,31.10
1489,-0.00,30.00,30.00,31.10
1501,0.02,29.98,30.00,31.10
1513,0.02,29.98,30.00,31.10
1525,-0.00,30.00,30.00,31.10
1537,-0.00,30.00,30.00,31.10
1549,0.02,29.98,30.00,31.10
1561,0.02,29.98,30.00,31.10
1573,-0.00,30.00,30.00,35.44
1585,-0.00,30.00,30.00,35.44
1597,-0.00,30.00,30.00,35.44
1609,-0.00,30.00,30.00,35.44
1621,-0.00,30.00,30.00,35.44
1633,-0.00,30.00,30.00,35.44
1645,-0.00,30.00,30.00,35.44
1657,-0.00,30.00,30.00,35.44
1669,-0.00,30.00,30.00,35.44
1681,-0.00,30.00,30.00,39.72
1693,-0.00,30.00,30.00,39.72
1705,-0.00,30.00,30.00,39.72
1717,-0.00,30.00,30.00,39.72
1729,-0.00,30.00,30.00,39.72
1741,-0.00,30.00,30.00,39.72
1753,-0.00,30.00,30.00,39.72
1765,-0.00,30.00,30.00,39.72
1777,-0.00,30.00,30.00,39.72
1789,-0.00,30.00,30.00,44.02
1801,-0.00,30.00,30.00,44.02
1813,-0.00,30.00,30.00,44.02
1825,-0.00,30.00,30.00,44.02
1837,-0.00,30.00,30.00,44.02
1849,-0.00,30.00,30.00,44.02
1861,-0.00,30.00,30.00,44.02
1873,-0.00,30.00,30.00,44.02
1885,-0.00,30.00,30.00,44.02
